lat_cell,lon_cell,erc,fm100,fm1000,tmmx,vpd,vs
44.8,-99.4,30.719301,15.749935,17.050229,287.401661,0.712739,4.086251
44.8,-99.3,30.424718,15.818608,17.145387,287.300119,0.702514,3.929581
44.8,-99.2,29.756791,15.976345,17.34991,287.208791,0.684583,3.755207
44.8,-99.1,29.159832,16.10646,17.493294,287.0977,0.670156,3.597509
44.8,-99.0,29.044602,16.110316,17.497325,287.00873,0.667906,3.508671
44.8,-98.9,28.83202,16.149565,17.547912,286.943154,0.664094,3.495567
44.8,-98.8,28.574008,16.210099,17.603598,286.855585,0.656473,3.566892
44.8,-98.7,28.293208,16.284165,17.660363,286.802434,0.651268,3.654626
44.8,-98.6,28.373861,16.271598,17.642022,286.805923,0.651868,3.742804
44.8,-98.5,28.276302,16.282566,17.664131,286.820346,0.649955,3.741921
44.8,-98.4,28.149389,16.298267,17.680284,286.804238,0.647917,3.689021
44.8,-98.3,28.366449,16.26468,17.643516,286.837907,0.650116,3.617563
44.8,-98.2,28.444143,16.220501,17.594856,286.870316,0.651435,3.543748
44.8,-98.1,28.21504,16.250605,17.625109,286.772177,0.642531,3.734458
44.8,-98.0,27.966605,16.309524,17.697683,286.601001,0.630281,4.078099
44.8,-97.9,27.547382,16.40259,17.810375,286.332861,0.611115,4.41112
44.8,-97.8,26.989871,16.538004,17.95871,285.692033,0.569832,4.826731
44.8,-97.7,27.244764,16.441443,17.873335,285.510981,0.565734,4.990977
44.8,-97.6,27.394,16.368693,17.800202,285.574933,0.569938,4.895842
44.8,-97.5,27.39429,16.357449,17.793278,285.598333,0.570241,4.741632
44.8,-97.4,27.364344,16.364762,17.81286,285.606663,0.569484,4.633857
44.8,-97.3,27.272954,16.389625,17.838115,285.606828,0.56775,4.587746
44.8,-97.2,27.206736,16.43375,17.836986,285.499154,0.559199,4.706185
44.8,-97.1,26.923636,16.529958,17.921975,285.622603,0.561917,4.90644
44.8,-97.0,26.358318,16.679691,18.103532,285.518995,0.552451,5.15203
44.8,-96.9,26.307299,16.618299,18.093412,285.357494,0.543873,5.264934
44.8,-96.8,26.280985,16.533882,18.073792,285.154856,0.529075,5.008189
44.8,-96.7,26.779275,16.370186,17.942427,285.326962,0.540966,4.756293
44.8,-96.6,27.252529,16.215736,17.792933,285.529315,0.556165,4.55578
44.8,-96.5,27.734209,16.057862,17.649528,285.848043,0.580955,4.48224
44.8,-96.4,28.154098,15.940398,17.532273,286.284839,0.604801,4.503548
44.8,-96.3,28.599114,15.813022,17.396882,286.621683,0.624447,4.591543
44.8,-96.2,28.491229,15.855028,17.421697,286.67992,0.625527,4.676662
44.8,-96.1,28.205383,15.940134,17.492527,286.636734,0.619222,4.69573
44.8,-96.0,28.017043,15.976614,17.543204,286.610793,0.618118,4.645596
44.8,-95.9,27.826562,16.00836,17.591089,286.582056,0.614982,4.584112
44.8,-95.8,27.289964,16.136337,17.745597,286.57927,0.607957,4.541484
44.8,-95.7,26.372661,16.384764,18.027229,286.649079,0.600941,4.522422
44.8,-95.6,25.261905,16.727219,18.386921,286.771147,0.590488,4.421899
44.8,-95.5,25.426426,16.656039,18.351823,286.699504,0.590842,4.309504
44.8,-95.4,26.049061,16.436667,18.13392,286.568049,0.594236,4.228794
44.8,-95.3,26.384759,16.329903,18.022007,286.417353,0.592498,4.156277
44.8,-95.2,26.466112,16.334284,17.986661,286.260735,0.583268,4.16589
44.8,-95.1,26.383431,16.35601,17.984924,286.126264,0.572262,4.231807
44.8,-95.0,25.974252,16.465885,18.095439,286.088031,0.56858,4.316012
44.8,-94.9,25.806163,16.519348,18.170985,286.131015,0.572358,4.375406
44.8,-94.8,26.042301,16.408003,18.092783,286.185716,0.58123,4.389469
44.8,-94.7,25.991163,16.367466,18.094269,286.196236,0.581951,4.31555
44.8,-94.6,25.789319,16.383126,18.144329,286.178314,0.579449,4.223885
44.8,-94.5,25.526455,16.444918,18.230077,286.197178,0.57678,4.139971
44.8,-94.4,25.306222,16.515506,18.303003,286.220962,0.57352,4.086599
44.8,-94.3,25.39015,16.48355,18.275741,286.229267,0.573665,4.057493
44.8,-94.2,25.833716,16.332937,18.124446,286.253149,0.576585,4.024624
44.8,-94.1,25.995075,16.257209,18.049103,286.25082,0.572633,3.998694
44.8,-94.0,25.815415,16.275973,18.086655,286.178313,0.565549,4.012119
44.8,-93.9,25.827173,16.261899,18.084643,286.141943,0.563519,4.043901
44.8,-93.8,26.175566,16.149105,17.997733,286.212105,0.571852,4.083158
44.8,-93.7,26.946342,15.941863,17.780986,286.363265,0.58768,4.110734
44.8,-93.6,28.361533,15.545373,17.357662,286.604442,0.614919,4.110876
44.8,-93.5,30.094098,15.007752,16.832095,286.729402,0.644806,4.091724
44.8,-93.4,30.10816,14.978974,16.814916,286.593576,0.640088,4.070513
44.8,-93.3,29.754714,15.019455,16.913635,286.482854,0.630882,4.050023
44.8,-93.2,28.831843,15.258701,17.211169,286.435865,0.619064,4.035114
44.8,-93.1,27.945069,15.471112,17.490378,286.46627,0.610201,4.040182
